student_id,session_number,score,archetype
1,1,67.7,volatile
1,2,35.8,volatile
1,3,59.7,volatile
1,4,38.6,volatile
1,5,52.4,volatile
1,6,62.0,volatile
1,7,48.0,volatile
1,8,51.0,volatile
1,9,62.8,volatile
2,1,64.1,volatile
2,2,57.6,volatile
2,3,51.1,volatile
2,4,42.0,volatile
2,5,56.4,volatile
2,6,42.2,volatile
2,7,54.2,volatile
2,8,36.2,volatile
2,9,45.0,volatile
3,1,67.2,declining
3,2,64.6,declining
3,3,64.1,declining
3,4,62.3,declining
3,5,62.5,declining
3,6,61.1,declining
3,7,56.5,declining
3,8,55.7,declining
3,9,65.8,declining
3,10,58.3,declining
3,11,53.0,declining
3,12,54.8,declining
3,13,55.4,declining
3,14,56.2,declining
3,15,54.2,declining
3,16,40.1,declining
3,17,58.0,declining
3,18,54.3,declining
3,19,46.6,declining
4,1,49.5,plateau
4,2,51.7,plateau
4,3,57.6,plateau
4,4,55.7,plateau
4,5,58.6,plateau
4,6,59.0,plateau
4,7,58.4,plateau
4,8,53.2,plateau
4,9,53.8,plateau
4,10,58.1,plateau
4,11,63.7,plateau
4,12,64.0,plateau
4,13,58.6,plateau
4,14,56.3,plateau
4,15,52.6,plateau
4,16,59.7,plateau
4,17,52.3,plateau
4,18,58.9,plateau
4,19,59.4,plateau
5,1,60.2,plateau
5,2,66.0,plateau
5,3,63.6,plateau
5,4,58.1,plateau
5,5,60.5,plateau
5,6,61.9,plateau
5,7,66.6,plateau
5,8,65.2,plateau
5,9,71.8,plateau
6,1,50.8,declining
6,2,54.8,declining
6,3,51.4,declining
6,4,51.3,declining
6,5,50.0,declining
6,6,47.4,declining
6,7,49.1,declining
6,8,50.4,declining
6,9,45.4,declining
6,10,47.3,declining
6,11,43.6,declining
7,1,54.5,plateau
7,2,56.2,plateau
7,3,53.1,plateau
7,4,52.3,plateau
7,5,54.0,plateau
7,6,53.2,plateau
7,7,66.9,plateau
7,8,60.1,plateau
7,9,63.9,plateau
8,1,57.8,volatile
8,2,68.0,volatile
8,3,67.5,volatile
8,4,55.4,volatile
8,5,47.9,volatile
8,6,58.4,volatile
8,7,56.7,volatile
8,8,74.0,volatile
9,1,40.8,improving
9,2,34.2,improving
9,3,40.6,improving
9,4,42.5,improving
9,5,52.9,improving
9,6,51.1,improving
9,7,49.5,improving
9,8,50.3,improving
9,9,56.4,improving
9,10,61.7,improving
9,11,63.4,improving
9,12,61.3,improving
9,13,54.7,improving
10,1,65.6,declining
10,2,61.8,declining
10,3,67.7,declining
10,4,64.2,declining
10,5,55.2,declining
10,6,59.6,declining
10,7,69.6,declining
10,8,59.1,declining
10,9,52.7,declining
10,10,68.9,declining
10,11,57.2,declining
10,12,66.1,declining
10,13,60.7,declining
10,14,67.5,declining
10,15,56.7,declining
10,16,49.4,declining
11,1,43.7,declining
11,2,45.0,declining
11,3,45.4,declining
11,4,41.7,declining
11,5,41.5,declining
11,6,34.8,declining
11,7,41.0,declining
11,8,45.7,declining
11,9,34.2,declining
12,1,60.5,declining
12,2,57.1,declining
12,3,58.2,declining
12,4,47.1,declining
12,5,51.6,declining
12,6,48.8,declining
12,7,50.9,declining
12,8,54.5,declining
13,1,52.7,declining
13,2,43.9,declining
13,3,56.6,declining
13,4,52.4,declining
13,5,48.0,declining
13,6,44.3,declining
13,7,45.2,declining
13,8,49.4,declining
13,9,50.2,declining
13,10,44.5,declining
13,11,41.5,declining
13,12,46.8,declining
13,13,46.3,declining
13,14,34.1,declining
13,15,39.0,declining
13,16,36.1,declining
13,17,28.3,declining
13,18,24.7,declining
14,1,59.4,plateau
14,2,59.9,plateau
14,3,66.9,plateau
14,4,70.6,plateau
14,5,70.6,plateau
14,6,74.0,plateau
14,7,62.7,plateau
14,8,75.5,plateau
14,9,75.0,plateau
14,10,75.2,plateau
14,11,75.6,plateau
14,12,71.1,plateau
15,1,43.5,volatile
15,2,39.4,volatile
15,3,57.0,volatile
15,4,50.5,volatile
15,5,46.4,volatile
15,6,59.9,volatile
15,7,49.7,volatile
15,8,58.0,volatile
15,9,46.0,volatile
15,10,44.2,volatile
15,11,48.9,volatile
15,12,38.7,volatile
15,13,52.9,volatile
15,14,43.7,volatile
15,15,44.3,volatile
15,16,50.9,volatile
15,17,63.2,volatile
16,1,65.7,declining
16,2,65.4,declining
16,3,61.2,declining
16,4,64.0,declining
16,5,60.7,declining
16,6,58.3,declining
16,7,65.4,declining
16,8,52.2,declining
16,9,49.9,declining
16,10,63.1,declining
16,11,51.6,declining
16,12,57.2,declining
16,13,55.5,declining
16,14,56.6,declining
16,15,48.0,declining
16,16,42.5,declining
17,1,49.0,plateau
17,2,42.2,plateau
17,3,43.7,plateau
17,4,48.4,plateau
17,5,56.3,plateau
17,6,49.1,plateau
17,7,53.1,plateau
17,8,54.0,plateau
17,9,55.1,plateau
17,10,54.2,plateau
17,11,58.0,plateau
17,12,58.5,plateau
17,13,51.0,plateau
17,14,60.6,plateau
17,15,51.7,plateau
17,16,56.5,plateau
17,17,54.3,plateau
18,1,46.0,plateau
18,2,49.5,plateau
18,3,53.3,plateau
18,4,61.2,plateau
18,5,60.0,plateau
18,6,59.7,plateau
18,7,63.1,plateau
18,8,65.5,plateau
18,9,59.5,plateau
18,10,60.0,plateau
18,11,61.4,plateau
18,12,61.7,plateau
19,1,60.6,plateau
19,2,67.9,plateau
19,3,70.5,plateau
19,4,66.0,plateau
19,5,68.1,plateau
19,6,63.2,plateau
19,7,61.1,plateau
19,8,78.7,plateau
19,9,66.9,plateau
19,10,57.7,plateau
19,11,83.5,plateau
19,12,70.6,plateau
19,13,66.2,plateau
