required_skills,job_title,label
"['Statistics', 'R', 'Data Analysis', 'Research Design', 'Mathematics']",Statistician,1.0
"['Documentation', 'Communication', 'Research', 'Editing', 'Basic Technical Knowledge']",Technical Writer,1.0
"['Monitoring', 'Incident Response', 'Automation', 'Cloud Infrastructure', 'Scripting']",Research Assistant,0.0
"['Solidity', 'Smart Contracts', 'Cryptography', 'Distributed Systems', 'Web3']",UX Designer,0.0
"['Regulatory Knowledge', 'Risk Assessment', 'Attention to Detail', 'Reporting', 'Communication']",Compliance Officer,1.0
"['Visual Design', 'Figma', 'Typography', 'Color Theory', 'Design Systems']",UI Designer,1.0
"['Technical Knowledge', 'Communication', 'Product Demos', 'Customer Relationship Management', 'Negotiation']",Robotics Engineer,0.0
"['Deep Learning', 'Research Methods', 'Python', 'Mathematics', 'Academic Writing']",QA Engineer,0.0
"['Statistics', 'Probability', 'Risk Assessment', 'Mathematics', 'Financial Modeling']",Sales Engineer,0.0
"['Natural Language Processing', 'Python', 'Transformers', 'Linguistics', 'Machine Learning']",NLP Engineer,1.0
"['Planning', 'Risk Management', 'Communication', 'Scheduling', 'Budgeting']",Project Manager,1.0
"['C/C++', 'Microcontrollers', 'Hardware Interfacing', 'RTOS', 'Debugging']",Embedded Systems Engineer,1.0
"['Excel', 'SQL', 'Data Visualization', 'Statistics', 'Tableau']",NLP Engineer,0.0
"['Strategy', 'User Research', 'Roadmapping', 'Communication', 'Prioritization']",Product Manager,1.0
"['Biology', 'Python', 'Statistics', 'Genomics Data', 'Data Analysis']",Compliance Officer,0.0
"['Research Methods', 'Data Collection', 'Literature Review', 'Academic Writing', 'Analysis']",Research Assistant,1.0
"['SQL', 'Database Design', 'Backup and Recovery', 'Performance Tuning', 'Security']",Database Administrator,1.0
"['Test Planning', 'Automation Testing', 'Bug Tracking', 'Selenium', 'Attention to Detail']",Business Intelligence Analyst,0.0
"['ETL Pipelines', 'SQL', 'Python', 'Big Data Tools', 'Data Warehousing']",Data Engineer,1.0
"['Networking Protocols', 'Routing and Switching', 'Firewalls', 'Troubleshooting', 'Cisco']",Network Engineer,1.0
"['Python', 'Statistics', 'Machine Learning', 'SQL', 'Data Visualization']",Project Manager,0.0
"['Excel', 'SQL', 'Data Visualization', 'Statistics', 'Tableau']",Data Analyst,1.0
"['Requirements Analysis', 'Systems Design', 'Documentation', 'SQL', 'Process Improvement']",Systems Analyst,1.0
"['Logistics', 'Forecasting', 'Data Analysis', 'Inventory Management', 'Excel']",Graphic Designer,0.0
"['APIs', 'Databases', 'Server Architecture', 'Python', 'Node.js']",Backend Developer,1.0
"['Content Planning', 'SEO', 'Writing', 'Analytics', 'Editorial Judgment']",Game Developer,0.0
"['Python', 'TensorFlow', 'Deep Learning', 'MLOps', 'Software Engineering']",UI Designer,0.0
"['Financial Modeling', 'Excel', 'Forecasting', 'Accounting Principles', 'Reporting']",Financial Analyst,1.0
"['Swift', 'Kotlin', 'Mobile UI Design', 'APIs', 'App Store Deployment']",Bioinformatics Analyst,0.0
