student_id,question_id,topic,is_correct
1,Q2119,Algebra,False
1,Q4990,Algebra,False
1,Q4379,Statistics,False
1,Q4911,Algebra,False
1,Q5334,Statistics,False
1,Q4028,Algebra,False
1,Q3785,Algebra,True
1,Q5370,Algebra,True
1,Q5258,Algebra,False
1,Q2994,Algebra,True
1,Q2607,Algebra,False
1,Q2654,Algebra,False
1,Q5531,Algebra,True
1,Q5941,Electricity & Magnetism,False
1,Q7862,Vocabulary,False
1,Q3289,Algebra,True
1,Q7622,Vocabulary,False
1,Q5983,Inorganic,False
2,Q3080,Algebra,False
2,Q5175,Algebra,True
2,Q3290,Algebra,True
2,Q5821,Algebra,False
2,Q5281,Statistics,False
2,Q2606,Algebra,True
2,Q6811,Reading Comprehension,False
2,Q8695,Vocabulary,True
2,Q8584,Vocabulary,False
2,Q7412,Vocabulary,True
2,Q7783,Vocabulary,False
2,Q6601,Reading Comprehension,False
2,Q5339,Statistics,True
2,Q4342,Algebra,False
2,Q3565,Geometry,True
2,Q3906,Algebra,True
2,Q3475,Algebra,True
2,Q7671,Vocabulary,False
2,Q4098,Algebra,True
2,Q8726,Vocabulary,False
2,Q2391,Statistics,False
2,Q7830,Vocabulary,True
2,Q6283,Mechanics,True
2,Q2889,Statistics,False
2,Q7520,Grammar,False
3,Q5252,Algebra,True
3,Q3622,Algebra,True
3,Q5332,Algebra,True
3,Q4058,Algebra,True
3,Q4216,Statistics,False
3,Q2447,Statistics,True
3,Q7213,Grammar,True
3,Q6786,Reading Comprehension,False
3,Q6268,Organic,False
3,Q4382,Algebra,True
3,Q8402,Vocabulary,False
3,Q4261,Statistics,False
3,Q2517,Algebra,True
3,Q8460,Vocabulary,True
3,Q5200,Algebra,True
3,Q3008,Trigonometry,False
3,Q3620,Algebra,True
3,Q6176,Mechanics,True
3,Q4849,Algebra,True
4,Q7742,Vocabulary,True
4,Q5238,Algebra,True
4,Q4757,Statistics,False
4,Q7465,Vocabulary,True
4,Q5784,Statistics,False
4,Q3039,Geometry,True
4,Q2576,Algebra,False
4,Q6959,Vocabulary,False
4,Q8332,Vocabulary,False
4,Q3849,Geometry,True
4,Q8912,Mechanics,False
4,Q3808,Algebra,True
4,Q7833,Vocabulary,True
4,Q4510,Algebra,True
4,Q7655,Vocabulary,True
4,Q2507,Algebra,True
4,Q6354,Inorganic,False
4,Q3382,Algebra,True
4,Q5195,Algebra,True
4,Q3079,Algebra,True
4,Q2041,Algebra,True
4,Q7669,Vocabulary,True
4,Q6262,Mechanics,False
4,Q5988,Mechanics,False
4,Q6314,Physical Chemistry,False
4,Q3244,Algebra,True
5,Q5564,Algebra,True
5,Q7478,Grammar,True
5,Q5630,Algebra,False
5,Q3481,Statistics,False
5,Q4581,Algebra,False
5,Q5604,Algebra,False
5,Q5191,Algebra,False
5,Q6278,Waves & Optics,True
5,Q2051,Algebra,False
5,Q7668,Vocabulary,True
5,Q2027,Statistics,False
5,Q7446,Vocabulary,True
5,Q6874,Vocabulary,True
5,Q3828,Algebra,False
5,Q8013,Vocabulary,True
5,Q4559,Statistics,False
6,Q2663,Algebra,True
6,Q5111,Algebra,True
6,Q6710,Reading Comprehension,True
6,Q2654,Algebra,True
6,Q2348,Algebra,True
6,Q6471,Reading Comprehension,True
6,Q3008,Trigonometry,True
6,Q6070,Organic,False
6,Q2465,Geometry,True
6,Q2256,Trigonometry,True
6,Q2445,Algebra,False
6,Q3214,Statistics,True
6,Q2725,Statistics,True
6,Q6064,Inorganic,True
6,Q2375,Statistics,True
6,Q6253,Mechanics,False
6,Q5435,Algebra,True
6,Q6552,Reading Comprehension,False
6,Q8411,Vocabulary,False
6,Q2800,Algebra,True
6,Q4766,Algebra,True
6,Q6554,Reading Comprehension,True
6,Q2585,Algebra,True
7,Q3096,Algebra,False
7,Q4316,Algebra,False
7,Q6553,Reading Comprehension,True
7,Q8451,Vocabulary,True
7,Q3334,Algebra,False
7,Q7826,Vocabulary,False
7,Q3814,Algebra,False
7,Q8297,Vocabulary,False
7,Q7087,Vocabulary,False
7,Q3811,Algebra,False
7,Q7661,Vocabulary,False
7,Q2760,Algebra,False
7,Q3487,Algebra,False
7,Q4728,Algebra,True
7,Q2596,Algebra,False
7,Q2101,Algebra,True
7,Q5831,Algebra,False
7,Q5653,Trigonometry,True
7,Q6993,Vocabulary,False
7,Q3289,Algebra,False
7,Q8784,Vocabulary,False
7,Q3769,Algebra,False
7,Q8474,Vocabulary,False
7,Q6596,Reading Comprehension,False
7,Q3549,Algebra,False
7,Q8556,Vocabulary,False
7,Q2974,Algebra,False
8,Q6497,Reading Comprehension,True
8,Q2632,Algebra,True
8,Q8083,Vocabulary,True
8,Q7199,Vocabulary,False
8,Q5009,Statistics,False
8,Q7932,Vocabulary,False
8,Q2837,Algebra,False
8,Q8572,Vocabulary,False
8,Q7100,Vocabulary,False
8,Q2234,Algebra,False
8,Q2596,Algebra,False
8,Q7970,Vocabulary,False
8,Q3196,Statistics,False
8,Q7927,Vocabulary,False
8,Q7374,Vocabulary,True
8,Q4947,Statistics,False
8,Q3971,Statistics,False
8,Q3824,Algebra,True
8,Q7730,Vocabulary,False
8,Q5570,Statistics,False
9,Q7896,Vocabulary,False
9,Q2992,Statistics,False
9,Q5331,Statistics,False
9,Q3914,Statistics,True
9,Q7626,Grammar,False
9,Q6600,Reading Comprehension,True
9,Q3412,Calculus,True
9,Q8714,Vocabulary,False
9,Q7842,Vocabulary,False
9,Q5244,Geometry,True
9,Q4981,Algebra,True
9,Q3038,Statistics,False
9,Q8256,Grammar,False
9,Q6911,Vocabulary,False
9,Q2777,Statistics,False
9,Q3139,Algebra,True
9,Q8251,Vocabulary,False
9,Q6967,Vocabulary,False
9,Q4386,Algebra,True
9,Q7526,Vocabulary,False
10,Q2778,Algebra,True
10,Q8721,Vocabulary,False
10,Q7541,Vocabulary,True
10,Q8612,Vocabulary,True
10,Q8884,Trigonometry,True
10,Q3730,Algebra,True
10,Q6966,Vocabulary,True
10,Q3796,Statistics,True
10,Q2709,Algebra,True
10,Q6816,Reading Comprehension,False
10,Q8055,Vocabulary,True
10,Q5116,Algebra,False
10,Q5705,Algebra,True
10,Q6850,Reading Comprehension,False
10,Q4492,Algebra,True
10,Q4426,Algebra,True
10,Q4414,Algebra,True
10,Q2529,Algebra,True
10,Q8673,Grammar,False
10,Q6844,Reading Comprehension,True
11,Q3377,Algebra,True
11,Q6809,Reading Comprehension,True
11,Q3968,Statistics,False
11,Q4702,Algebra,True
11,Q3017,Algebra,True
11,Q5499,Algebra,True
11,Q8358,Grammar,True
11,Q4885,Algebra,True
11,Q5096,Geometry,False
11,Q4648,Algebra,True
11,Q3675,Algebra,True
11,Q8534,Grammar,False
11,Q3021,Algebra,True
11,Q8264,Vocabulary,True
11,Q6091,Physical Chemistry,True
12,Q8476,Grammar,False
12,Q3495,Algebra,True
12,Q8124,Vocabulary,False
12,Q2111,Algebra,False
12,Q6296,Waves & Optics,True
12,Q3037,Geometry,True
12,Q2759,Algebra,False
12,Q3824,Algebra,True
12,Q2351,Statistics,True
12,Q6060,Modern Physics,True
12,Q4425,Algebra,False
12,Q8072,Vocabulary,True
12,Q2809,Algebra,True
12,Q6162,Inorganic,False
12,Q5570,Statistics,True
12,Q2549,Statistics,True
12,Q4403,Algebra,False
12,Q8510,Vocabulary,False
12,Q5956,Waves & Optics,True
12,Q4931,Statistics,False
12,Q3757,Algebra,False
12,Q7372,Vocabulary,False
12,Q4490,Algebra,False
12,Q3608,Algebra,False
12,Q7235,Vocabulary,True
12,Q8061,Vocabulary,False
13,Q7488,Vocabulary,False
13,Q2176,Statistics,False
13,Q5399,Statistics,False
13,Q4124,Algebra,False
13,Q3460,Algebra,False
13,Q6273,Mechanics,False
13,Q7034,Vocabulary,False
13,Q2801,Algebra,False
13,Q4413,Algebra,False
13,Q5391,Algebra,False
13,Q3273,Algebra,False
13,Q7978,Vocabulary,True
13,Q3185,Algebra,False
13,Q6908,Grammar,False
13,Q5192,Algebra,False
13,Q6331,Mechanics,False
13,Q8496,Vocabulary,False
13,Q3315,Algebra,True
13,Q8860,Vocabulary,True
13,Q4816,Algebra,False
13,Q5131,Algebra,False
13,Q6929,Grammar,False
13,Q7875,Vocabulary,False
13,Q6646,Reading Comprehension,False
13,Q6154,Inorganic,True
13,Q7796,Grammar,False
14,Q3840,Algebra,True
14,Q6415,Reading Comprehension,True
14,Q3990,Geometry,True
14,Q6280,Mechanics,False
14,Q7884,Vocabulary,False
14,Q4328,Algebra,True
14,Q5840,Statistics,False
14,Q6836,Reading Comprehension,False
14,Q8467,Vocabulary,False
14,Q4795,Algebra,False
14,Q4447,Algebra,True
14,Q8047,Vocabulary,False
14,Q7992,Vocabulary,True
14,Q6063,Inorganic,False
14,Q5823,Algebra,True
15,Q5176,Algebra,False
15,Q7398,Grammar,True
15,Q7118,Grammar,False
15,Q7663,Vocabulary,False
15,Q5850,Algebra,True
15,Q2873,Statistics,True
15,Q3028,Algebra,False
15,Q2793,Algebra,True
15,Q5983,Inorganic,False
15,Q7887,Vocabulary,False
15,Q3704,Algebra,False
15,Q4184,Algebra,False
15,Q3418,Statistics,True
15,Q2244,Algebra,False
15,Q3991,Statistics,True
15,Q8554,Vocabulary,False
15,Q8147,Vocabulary,False
15,Q7316,Vocabulary,False
15,Q2635,Algebra,False
15,Q3169,Algebra,False
15,Q2680,Algebra,False
15,Q6539,Reading Comprehension,False
15,Q6880,Vocabulary,False
15,Q8710,Vocabulary,False
15,Q6740,Reading Comprehension,False
15,Q4073,Algebra,False
16,Q3049,Algebra,True
16,Q3550,Algebra,False
16,Q2180,Algebra,True
16,Q3937,Algebra,True
16,Q2371,Statistics,False
16,Q3718,Algebra,True
16,Q5709,Algebra,True
16,Q2818,Algebra,True
16,Q4886,Statistics,True
16,Q5365,Statistics,False
16,Q3095,Geometry,False
16,Q3375,Algebra,True
16,Q3289,Algebra,True
16,Q5054,Statistics,False
16,Q4677,Algebra,False
16,Q2162,Algebra,True
16,Q3446,Algebra,True
16,Q2100,Statistics,True
16,Q2695,Trigonometry,False
16,Q3887,Algebra,True
16,Q4908,Statistics,True
16,Q4516,Statistics,True
17,Q8300,Vocabulary,False
17,Q6629,Reading Comprehension,False
17,Q2779,Algebra,False
17,Q6344,Inorganic,False
17,Q5274,Algebra,False
17,Q4525,Algebra,False
17,Q4723,Algebra,True
17,Q2979,Statistics,True
17,Q4330,Geometry,True
17,Q4537,Algebra,False
17,Q3137,Statistics,False
17,Q8428,Vocabulary,False
17,Q6676,Reading Comprehension,False
17,Q3531,Geometry,False
17,Q3980,Geometry,False
17,Q8561,Vocabulary,False
17,Q3651,Statistics,False
17,Q8118,Vocabulary,False
17,Q6640,Reading Comprehension,False
17,Q5920,Physical Chemistry,True
17,Q5019,Statistics,True
17,Q6702,Reading Comprehension,False
17,Q8566,Vocabulary,False
17,Q7197,Vocabulary,False
17,Q6148,Mechanics,False
17,Q8431,Vocabulary,False
17,Q7959,Vocabulary,False
17,Q7266,Vocabulary,False
17,Q5772,Statistics,False
18,Q7827,Vocabulary,False
18,Q8098,Vocabulary,False
18,Q7838,Vocabulary,True
18,Q6255,Inorganic,False
18,Q7649,Vocabulary,False
18,Q6435,Reading Comprehension,True
18,Q4467,Statistics,True
18,Q7650,Vocabulary,False
18,Q4126,Algebra,True
18,Q5075,Algebra,False
18,Q5496,Algebra,True
18,Q5728,Algebra,True
18,Q2451,Algebra,True
18,Q7832,Vocabulary,True
18,Q3206,Geometry,False
18,Q7440,Grammar,False
18,Q8123,Vocabulary,True
18,Q4106,Statistics,True
18,Q2160,Algebra,True
18,Q3565,Geometry,False
18,Q5720,Algebra,True
18,Q3855,Algebra,True
18,Q4485,Algebra,True
18,Q5063,Algebra,True
18,Q6242,Waves & Optics,True
19,Q4801,Algebra,False
